TPC Memeber,H-Index Scopus,H-Index Google Scholar,VIP
Alessandro Abate,37,50,xx
Ebru Aydin Gol,1,15,
Ezio Bartocci ,34,43,x
Borzoo Bonakdarpour,21,28,
Luca Bortolussi ,24,33,
Peter Buchholz,26,41,x
Laura Carnevali,12,13,
Giuliano Casale ,32,44,
Gianfranco Ciardo ,31,47,xx
Liliana Cucu-Grosjean,14,26,
Pedro D'Argenio ,22,32,
Carina da Silva,-,11,
Susanna Donatelli ,23,33,
Maryam Elahi ,4,7,
Jean-Michel Fourneau,16,25,
Marco Gribaudo ,27,35,
András Horváth ,19,26,
David N. Jansen ,17,21,
Nils Jansen,24,36,xx
Sebastian Junges,19,31,x
Peter Kemper,18,29,
William Knottenbelt ,25,43,x
Jan Křetínský ,23,33,x
Andrea Marin ,18,21,
Gethin Norman,40,53,x
David Parker ,47,63,xx
Elizabeth Polgreen ,7,12,
Anne Remke ,15,22,
Sabina Rossi ,19,23,
Gerardo Rubino ,22,32,
Miklós Telek,27,38,x
Mirco Tribastone ,23,32,
Benny Van Houdt,18,29,
Verena Wolf ,20,26,x
Katinka Wolter ,25,33,x
Paolo Zuliani ,20,26,
Alessandro Abate ,37,50,
Parosh Aziz Abdulla ,36,54,x
Erika Abraham ,24,36,
Bernhard Aichernig ,22,32,
Nicolas Basset ,9,13,
Nathalie Bertrand ,19,26,
Sergiy Bogomolov,14,20,
Lei Bu ,14,19,
Milan Ceska,17,25,
Thao Dang ,30,36,
Catalin Dima ,11,17,
Rayna Dimitrova ,10,12,
Mirco Giacobbe ,11,14,
Radu Grosu ,33,48,x
Arnd Hartmanns ,17,25,
Hsi-Ming Ho ,6,9,
Peter Gjøl Jensen,12,17,
Taylor Johnson ,26,41,
Sebastian Junges ,19,31,
Joost-Pieter Katoen ,51,79,xx
Sophia Knight ,7,11,
Matthieu Martel ,12,-,
Gethin Norman ,40,53,
Miroslav Pajic ,30,39,
David Parker ,47,63,
Igor Potapov ,16,19,
Christian Schilling ,15,21,
Ana Sokolova ,19,25,
Sadegh Soudjani ,21,32,
Stavros Tripakis ,41,58,
Jana Tumova ,21,30,xx
Naijun Zhan ,25,30,
