TPC Memeber,H-Index Scopus,H-Index Google Scholar,
Alessandro Abate ,37,50,
Ezio Bartocci ,34,43,
Luca Bortolussi ,24,33,
Peter Buchholz ,26,41,
Laura Carnevali,12,13,
Giuliano Casale ,32,44,
Milan Češka ,17,25,
Pedro D'Argenio ,22,32,
Rayna Dimitrova ,10,12,
Clemens Dubslaff ,12,16,
Nathanaël Fijalkow ,13,19,
Marco Gribaudo ,27,35,
Shibashis Guha ,6,10,
Sofie Haesaert ,14,19,
Arnd Hartmanns ,17,25,
Holger Hermanns ,42,57,x
Nils Jansen ,24,36,
Sebastian Junges ,19,31,
Benjamin L. Kaminski ,18,24,x
Michaela Klauck,8,12,
Jan Křetínský ,23,33,
Diwakar Krishnamurthy ,14,21,
Luca Laurenti ,16,23,
Andrea Marin ,18,21,
Daniel Nieder ,-,24,
Gethin Norman,40,53,
David Parker ,47,63,
Marco Paolieri ,9,-,
Pavithra Prabhakar ,15,18,
Anne Remke ,15,22,
Matteo Sereno ,20,29,
Marcus Siegle ,12,20,
David Šafránek ,13,21,
Mirco Tribastone ,23,32,
Max Tschaikowski,17,22,
Andrea Vandin ,19,26,
Benny Van Houdt,18,29,
Matthias Volk ,12,14,
Verena Wolf,20,26,
Katinka Wolter ,25,33,
Alessandro Abate,37,50,
Parosh Aziz Abdulla,36,43,
Marcello M. Bersani,13,17,
Patricia Bouyer-Decitre,32,48,
Franck Cassez,21,31,
Pedro R. D'Argenio,22,32,
Jyotirmoy Deshmukh,24,33,
Catalin Dima,11,17,
Miriam García Soto,7,9,
Gilles Geeraerts,13,16,
Taylor T. Johnson,26,41,
Jan Křetínský,23,33,
Engel Lefaucheux,7,10,
Jun Liu,25,31,
Manuel Mazo Jr,19,22,
Benjamin Monmege,12,14,
Dejan Ničković,25,33,
Nicola Paoletti,17,24,
Laure Petrucci,15,24,
Kristin Yvonne Rozier,18,23,
Krishna S.,14,21,
Ocan Sankur,14,20,
Sadegh Soudjani,21,32,
Jeremy Sproston,20,21,
Jiri Srba,22,31,
B. Srivathsan,9,12,
Nathalie Sznajder,8,-,
Patrick Totzke,10,14,
Stavros Tripakis,41,58,x
Enrico Vicario,22,30,
Masaki Waga,9,13,
Naijun Zhan,25,30,
