TPC Memeber,H-Index Scopus,H-Index Google Scholar,,,,,,,20,26
Alessandro Abate,37,50,,,,,,,,
Ezio Bartocci ,34,43,,,,,,,,
Andrea Burattin,21,30,,,,,,,,
Valentina Castiglioni,7,10,,,,,,,"19,58333333","28,06060606"
Pedro D’Argenio,22,32,,,,,,,,
Thao Dang,30,36,,,,,,,,
Yusuke Kawamoto,9,,,,,,,,,
S Krishna,14,21,,,,,,,,
Diwakar Krishnamurthy,14,21,,,,,,,,
Arnd Hartmanns ,17,25,,,,,,,,
Jane Hilston,29,43,,,,,,,,
Taylor Johnson ,26,41,,,,,,,,
Engel Lefaucheux ,7,10,,,,,,,,
Michele Loreti,27,35,,,,,,,,
Jun Liu ,25,31,,,,,,,,
Andrea Marin ,18,21,,,,,,,,
Dejan Nickovic,25,33,,,,,,,,
Marco Paolieri,9,-,,,,,,,,
Loïc Paulevé,17,25,,,,,,,,
Tuan Phung-Duc,20,25,,,,,,,,
Anne Remke ,15,22,,,,,,,,
Camilo Rocha,12,16,,,,,,,,
Cesar Sanchez,13,22,,,,,,,,
Ocan Sankur ,14,20,,,,,,,,
Ramin Sadre,20,31,,,,,,,,
Sadegh Soudjani,21,32,,,,,,,,
Jeremy Sproston,20,21,,,,,,,,
Hoang Dung Tran,18,25,,,,,,,,
Ashutosh Trivedi ,16,20,,,,,,,,
Mahesh Viswanathan,32,44,,,,,,,,
Benny Van Houdt ,18,29,,,,,,,,
Masaki Waga,22,30,,,,,,,,
Verena Wolf,20,26,,,,,,,,
Tichakorn Wongpiromsarn,21,30,,,,,,,,
Bai Xue,15,,,,,,,,,
Paolo Zuliani ,20,26,,,,,,,,
