"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Heinemann B.","Heinemann, Bernhard (7005188791)","7005188791","Regarding overlaps in 'topologic'","2006","Advances in Modal Logic 2006","6","","","259","277","18","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-37349013903&partnerID=40&md5=19777f5f455211a9948f2f25696e7062","Conference paper","Final","","Scopus","2-s2.0-37349013903"
"Kurucz A.","Kurucz, Agi (8732161000)","8732161000","On axiomatising products of Kripke frames, part II","2008","Advances in Modal Logic 2006","7","","","219","230","11","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956501692&partnerID=40&md5=2127303b828cd66433f8776e14ebe702","Conference paper","Final","","Scopus","2-s2.0-77956501692"
"Figueira S.; Gorín D.","Figueira, Santiago (10239550300); Gorín, Daniel (8889515700)","10239550300; 8889515700","On the size of shortest modal descriptions","2010","Advances in Modal Logic 2006","8","","","120","139","19","18","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960129358&partnerID=40&md5=b424229b005f0348c8e3c06198c1f27b","Conference paper","Final","","Scopus","2-s2.0-79960129358"
"Kontinen J.; Múller J.-S.; Schnoor H.; Vollmer H.","Kontinen, Juha (12796382100); Múller, Julian-Steffen (57211135314); Schnoor, Henning (55885134600); Vollmer, Heribert (56055781600)","12796382100; 57211135314; 55885134600; 56055781600","Modal independence logic","2014","Advances in Modal Logic","10","","","353","372","19","20","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924712707&partnerID=40&md5=28c442a1baf45c985ce55e5342fc7a0a","Conference paper","Final","","Scopus","2-s2.0-84924712707"
"Pentus M.","Pentus, Mati (16414824700)","16414824700","Complexity of the Lambek calculus and its fragments","2010","Advances in Modal Logic 2006","8","","","310","329","19","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858664604&partnerID=40&md5=935510b28fe35781f56fe9e1fbd48ef7","Conference paper","Final","","Scopus","2-s2.0-84858664604"
"Kudinov A.; Shapirovsky I.; Shehtman V.","Kudinov, Andrey (55117642700); Shapirovsky, Ilya (8716184900); Shehtman, Valentin (16470280300)","55117642700; 8716184900; 16470280300","On modal logics of hamming spaces","2012","Advances in Modal Logic","9","","","395","410","15","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906769466&partnerID=40&md5=6ab9cfde83294bce0279e6721a8396d0","Conference paper","Final","","Scopus","2-s2.0-84906769466"
"Tulenheimo T.; Sevenster M.","Tulenheimo, Tero (14042896500); Sevenster, Merlijn (55890883200)","14042896500; 55890883200","On modal logic, IF logic, and IF modal logic","2006","Advances in Modal Logic 2006","6","","","481","501","20","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-62649163924&partnerID=40&md5=787112b44a251c9d2a7df4e65ef39ee4","Conference paper","Final","","Scopus","2-s2.0-62649163924"
"Kupke C.; Pattinson D.","Kupke, Clemens (6602390943); Pattinson, Dirk (6603022335)","6602390943; 6603022335","On modal logics of linear inequalities","2010","Advances in Modal Logic 2006","8","","","235","255","20","17","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858639245&partnerID=40&md5=54c3695c4225a7e3e1d7806e177a62af","Conference paper","Final","","Scopus","2-s2.0-84858639245"
"Holliday W.H.; Icard III T.F.","Holliday, Wesley H. (36704582700); Icard III, Thomas F. (45561295100)","36704582700; 45561295100","Moorean phenomena in epistemic logic","2010","Advances in Modal Logic 2006","8","","","178","199","21","57","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054057125&partnerID=40&md5=d3adc6b75d7cab4f6743546b00bf6ec9","Conference paper","Final","","Scopus","2-s2.0-80054057125"
"Van Ditmarsch H.; Fan J.; Van Der Hoek W.; Iliev P.","Van Ditmarsch, Hans (57215882990); Fan, Jie (56434947400); Van Der Hoek, Wiebe (7005925719); Iliev, Petar (24481404700)","57215882990; 56434947400; 7005925719; 24481404700","Some exponential lower bounds on formula-size in modal logic","2014","Advances in Modal Logic","10","","","139","157","18","10","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924671231&partnerID=40&md5=3f43caf649380733487e57e7338bd34d","Conference paper","Final","","Scopus","2-s2.0-84924671231"
