"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Franz E.; Wahrig H.; Boettcher A.; Borcea-Pfitzmann K.","Franz, Elke (7006485083); Wahrig, Hagen (14042836500); Boettcher, Alexander (15061204700); Borcea-Pfitzmann, Katrin (14065753100)","7006485083; 14042836500; 15061204700; 14065753100","Access control in a privacy-aware eLearning environment","2006","Proceedings - First International Conference on Availability, Reliability and Security, ARES 2006","2006","","1625400","879","886","7","9","10.1109/ARES.2006.20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750937109&doi=10.1109%2fARES.2006.20&partnerID=40&md5=f97c7c0fbb4a4392bbd012049b1f4b44","Conference paper","Final","","Scopus","2-s2.0-33750937109"
"Peters R.; Jörg P.; Meesters M.; Hoogwout M.; Stuart E.","Peters, Rob (57197908353); Jörg, Pim (15061443400); Meesters, Marco (15061882800); Hoogwout, Marcel (15061459100); Stuart, Edwin (15061746800)","57197908353; 15061443400; 15061882800; 15061459100; 15061746800","Maintaining data-integrity in the back office registries of cities; a survey on organizational barriers and ways to address those","2006","Proceedings - First International Conference on Availability, Reliability and Security, ARES 2006","2006","","1625419","1017","1024","7","1","10.1109/ARES.2006.78","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750934753&doi=10.1109%2fARES.2006.78&partnerID=40&md5=10ed4b9014301d2058b78fe7fbb89f9e","Conference paper","Final","","Scopus","2-s2.0-33750934753"
"Beyer S.; Sánchez A.; Muñoz-Escoí F.D.; Galdámez P.","Beyer, Stefan (15060936300); Sánchez, Alexander (57224102377); Muñoz-Escoí, Francesc D. (6507651986); Galdámez, Pablo (6508390327)","15060936300; 57224102377; 6507651986; 6508390327","DeDiSys Lite: An environment for evaluating replication protocols in partitionable distributed object systems","2006","Proceedings - First International Conference on Availability, Reliability and Security, ARES 2006","2006","","1625337","408","415","7","5","10.1109/ARES.2006.44","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750953796&doi=10.1109%2fARES.2006.44&partnerID=40&md5=a59c1e6b8fc3460a1d29f8db93aab7fe","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-33750953796"
"Simon C.; Weber P.","Simon, Christophe (56817176900); Weber, Philippe (56238064100)","56817176900; 56238064100","Bayesian networks implementation of the Dempster Shafer theory to model reliability uncertainty","2006","Proceedings - First International Conference on Availability, Reliability and Security, ARES 2006","2006","","1625387","788","793","5","11","10.1109/ARES.2006.38","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750948800&doi=10.1109%2fARES.2006.38&partnerID=40&md5=7b1441049891a1f9c2b5d5d18ae00287","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-33750948800"
"Močnik J.; Karwaczynski P.","Močnik, Jaka (22734941500); Karwaczynski, Piotr (8855093600)","22734941500; 8855093600","An architecture for service discovery based on capability matching","2006","Proceedings - First International Conference on Availability, Reliability and Security, ARES 2006","2006","","1625393","824","831","7","2","10.1109/ARES.2006.25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750950836&doi=10.1109%2fARES.2006.25&partnerID=40&md5=315fb101d3c5ddc6c6de2ba6f22a177c","Conference paper","Final","","Scopus","2-s2.0-33750950836"
"Shin K.; Yasuda H.","Shin, Kilho (13105938700); Yasuda, Hiroshi (35429542700)","13105938700; 35429542700","Provably secure anonymous access control for heterogeneous trusts","2006","Proceedings - First International Conference on Availability, Reliability and Security, ARES 2006","2006","","1625290","24","32","8","4","10.1109/ARES.2006.98","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750931991&doi=10.1109%2fARES.2006.98&partnerID=40&md5=6693686b7be4d1960db3c9baf0632933","Conference paper","Final","","Scopus","2-s2.0-33750931991"
"Kazhamiakin R.; Pandya P.; Pistore M.","Kazhamiakin, Raman (8340405300); Pandya, Paritosh (56246016200); Pistore, Marco (6701408422)","8340405300; 56246016200; 6701408422","Timed modelling and analysis in Web service compositions","2006","Proceedings - First International Conference on Availability, Reliability and Security, ARES 2006","2006","","1625395","840","846","6","47","10.1109/ARES.2006.134","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750941734&doi=10.1109%2fARES.2006.134&partnerID=40&md5=1b10949527c053c7445570210927b7e4","Conference paper","Final","","Scopus","2-s2.0-33750941734"
"Zangerl A.","Zangerl, Alexander (7003583369)","7003583369","Tamper-resistant replicated peer-to-peer storage using hierarchical signatures","2006","Proceedings - First International Conference on Availability, Reliability and Security, ARES 2006","2006","","1625293","8","15","7","0","10.1109/ARES.2006.129","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750932566&doi=10.1109%2fARES.2006.129&partnerID=40&md5=ad60d5600ddec280e01548d613fb8bfd","Conference paper","Final","","Scopus","2-s2.0-33750932566"
"Yee G.; Korba L.; Song R.","Yee, George (7006769039); Korba, Larry (7003540206); Song, Ronggong (7202051455)","7006769039; 7003540206; 7202051455","Ensuring privacy for E-health services","2006","Proceedings - First International Conference on Availability, Reliability and Security, ARES 2006","2006","","1625327","321","328","7","15","10.1109/ARES.2006.59","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750945658&doi=10.1109%2fARES.2006.59&partnerID=40&md5=f9b0482d90765293d6e59b8bc02cc222","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-33750945658"
"Baer R.; Dietrich M.","Baer, Ruedi (15061121400); Dietrich, Martin (36985496500)","15061121400; 36985496500","Validation of IT-security measurement tools","2006","Proceedings - First International Conference on Availability, Reliability and Security, ARES 2006","2006","","1625413","980","981","1","0","10.1109/ARES.2006.142","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750954895&doi=10.1109%2fARES.2006.142&partnerID=40&md5=dfb09ef41f8c69a4c7381ea866a6e6db","Conference paper","Final","","Scopus","2-s2.0-33750954895"
