"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Ferreira N.B.F.; Moscato M.M.; Titolo L.; Ayala-Rincon M.","Ferreira, Nikson Bernardes Fernandes (58538843000); Moscato, Mariano M. (23088699000); Titolo, Laura (53878630700); Ayala-Rincon, Mauricio (6507737823)","58538843000; 23088699000; 53878630700; 6507737823","A Provably Correct Floating-Point Implementation of Well Clear Avionics Concepts","2023","Proceedings of the 23rd Conference on Formal Methods in Computer-Aided Design, FMCAD 2023","","","","237","246","9","2","10.34727/2023/isbn.978-3-85448-060-0_32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180371418&doi=10.34727%2f2023%2fisbn.978-3-85448-060-0_32&partnerID=40&md5=a557b8fa13ebea49cd075470af0deb14","Conference paper","Final","","Scopus","2-s2.0-85180371418"
"Meng B.; Debnath J.; Varanasi S.C.; Manoloios E.; Durling M.; Paul S.; Prince D.; Alsabbagh S.; Haadsma R.; McMillan C.; Zhang C.; Oates T.","Meng, Baoluo (57216806135); Debnath, Joyanta (57219113845); Varanasi, Sarat Chandra (57211668894); Manoloios, Emmanuel (58774965600); Durling, Michael (57200374735); Paul, Saswata (57205588813); Prince, Daniel (56553819100); Alsabbagh, Saif (58775110300); Haadsma, Richard (58775110400); McMillan, Craig (57196371081); Zhang, Chi (57221301310); Oates, Tim (7005499321)","57216806135; 57219113845; 57211668894; 58774965600; 57200374735; 57205588813; 56553819100; 58775110300; 58775110400; 57196371081; 57221301310; 7005499321","Towards a Correct-by-Construction Design of Integrated Modular Avionics","2023","Proceedings of the 23rd Conference on Formal Methods in Computer-Aided Design, FMCAD 2023","","","","221","227","6","1","10.34727/2023/isbn.978-3-85448-060-0_30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180374929&doi=10.34727%2f2023%2fisbn.978-3-85448-060-0_30&partnerID=40&md5=23f210e0110bc1d6adab7cd05346cd87","Conference paper","Final","","Scopus","2-s2.0-85180374929"
"Zhang R.; Trefler R.; Namjoshi K.S.","Zhang, Ruoxi (58103777900); Trefler, Richard (6602347143); Namjoshi, Kedar S. (22433421100)","58103777900; 6602347143; 22433421100","Synthesizing Locally Symmetric Parameterized Protocols from Temporal Specifications","2022","Proceedings of the 22nd Conference on Formal Methods in Computer-Aided Design, FMCAD 2022","","","","235","244","9","1","10.34727/2022/isbn.978-3-85448-053-2-30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148100338&doi=10.34727%2f2022%2fisbn.978-3-85448-053-2-30&partnerID=40&md5=5f22dd3a4613970127a2ff8403f067d0","Conference paper","Final","","Scopus","2-s2.0-85148100338"
"","","","Proceedings of the 21st Formal Methods in Computer-Aided Design, FMCAD 2021","2021","Proceedings of the 21st Formal Methods in Computer-Aided Design, FMCAD 2021","","","","","","292","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123711490&partnerID=40&md5=379bebecd523ca37d72ad10070414865","Conference review","Final","","Scopus","2-s2.0-85123711490"
"Preiner M.","Preiner, Mathias (55320805900)","55320805900","The FMCAD 2022 Student Forum","2022","Proceedings of the 22nd Conference on Formal Methods in Computer-Aided Design, FMCAD 2022","","","","5","6","1","0","10.34727/2022/isbn.978-3-85448-053-2-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148105742&doi=10.34727%2f2022%2fisbn.978-3-85448-053-2-5&partnerID=40&md5=b3770f7db369e95c556bbf15924528d2","Conference paper","Final","","Scopus","2-s2.0-85148105742"
"Li B.; Cai S.","Li, Bohan (57218553739); Cai, Shaowei (36600115200)","57218553739; 36600115200","Local Search For SMT On Linear and Multi-linear Real Arithmetic","2023","Proceedings of the 23rd Conference on Formal Methods in Computer-Aided Design, FMCAD 2023","","","","168","177","9","1","10.34727/2023/isbn.978-3-85448-060-0_25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180367390&doi=10.34727%2f2023%2fisbn.978-3-85448-060-0_25&partnerID=40&md5=41b005f4640214c068babd71a657ccdd","Conference paper","Final","","Scopus","2-s2.0-85180367390"
"Tsiskaridze N.; Strange M.; Mann M.; Sreedhar K.; Liu Q.; Horowitz M.; Barrett C.","Tsiskaridze, Nestan (35106088700); Strange, Maxwell (57203738680); Mann, Makai (57206243822); Sreedhar, Kavya (57219573153); Liu, Qiaoyi (57126518100); Horowitz, Mark (7401749711); Barrett, Clark (11141230000)","35106088700; 57203738680; 57206243822; 57219573153; 57126518100; 7401749711; 11141230000","Automating System Configuration","2021","Proceedings of the 21st Formal Methods in Computer-Aided Design, FMCAD 2021","","","","102","111","9","3","10.34727/2021/isbn.978-3-85448-046-4_19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123710287&doi=10.34727%2f2021%2fisbn.978-3-85448-046-4_19&partnerID=40&md5=7054eacaefa727bbfc56632fc82e1a18","Conference paper","Final","","Scopus","2-s2.0-85123710287"
"Raghunathan D.; Beckett R.; Gupta A.; Walker D.","Raghunathan, Divya (57211988369); Beckett, Ryan (56354636800); Gupta, Aarti (7410389613); Walker, David (7404440742)","57211988369; 56354636800; 7410389613; 7404440742","ACORN: Network Control Plane Abstraction using Route Nondeterminism","2022","Proceedings of the 22nd Conference on Formal Methods in Computer-Aided Design, FMCAD 2022","","","","261","272","11","2","10.34727/2022/isbn.978-3-85448-053-2-33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148101387&doi=10.34727%2f2022%2fisbn.978-3-85448-053-2-33&partnerID=40&md5=526552ed13a987a3cacfc58367bc9e3f","Conference paper","Final","","Scopus","2-s2.0-85148101387"
"Vigouroux T.; Ene C.; Monniaux D.; Mounier L.; Potet M.-L.","Vigouroux, Thomas (57980518800); Ene, Cristian (22333800500); Monniaux, David (7003603592); Mounier, Laurent (6603106167); Potet, Marie-Laure (8727223500)","57980518800; 22333800500; 7003603592; 6603106167; 8727223500","BaxMC: A CEGAR approach to Max#SAT","2022","Proceedings of the 22nd Conference on Formal Methods in Computer-Aided Design, FMCAD 2022","","","","170","178","8","2","10.34727/2022/isbn.978-3-85448-053-2-23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148058702&doi=10.34727%2f2022%2fisbn.978-3-85448-053-2-23&partnerID=40&md5=ee852eec293221d0565f82a02894b7e7","Conference paper","Final","","Scopus","2-s2.0-85148058702"
"Rath J.; Biere A.; Kovács L.","Rath, Jakob (57193028225); Biere, Armin (8556731200); Kovács, Laura (28567857600)","57193028225; 8556731200; 28567857600","First-Order Subsumption via SAT Solving","2022","Proceedings of the 22nd Conference on Formal Methods in Computer-Aided Design, FMCAD 2022","","","","160","169","9","2","10.34727/2022/isbn.978-3-85448-053-2-22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148051351&doi=10.34727%2f2022%2fisbn.978-3-85448-053-2-22&partnerID=40&md5=caf4e242063822ba2a97899fb4ed3661","Conference paper","Final","","Scopus","2-s2.0-85148051351"
