"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Akiyoshi R.; Terui K.","Akiyoshi, Ryota (57189036747); Terui, Kazushige (7003600138)","57189036747; 7003600138","Strong normalization for the parameter-free polymorphic lambda calculus based on the Ω-rule","2016","Leibniz International Proceedings in Informatics, LIPIcs","52","","5","","","","1","10.4230/LIPIcs.FSCD.2016.5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977568853&doi=10.4230%2fLIPIcs.FSCD.2016.5&partnerID=40&md5=767f929846a0f137e5896d445afd9b45","Conference paper","Final","","Scopus","2-s2.0-84977568853"
"Suzuki R.; Fujima K.; Kobayashi N.; Tsukada T.","Suzuki, Ryota (57225662901); Fujima, Koichi (56024959800); Kobayashi, Naoki (55587039100); Tsukada, Takeshi (56937937000)","57225662901; 56024959800; 55587039100; 56937937000","Streett automata model checking of higher-order recursion schemes","2017","Leibniz International Proceedings in Informatics, LIPIcs","84","","32","","","","8","10.4230/LIPIcs.FSCD.2017.32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030545594&doi=10.4230%2fLIPIcs.FSCD.2017.32&partnerID=40&md5=39ad47d5e8855d17934d1776945d1917","Conference paper","Final","","Scopus","2-s2.0-85030545594"
"Schmidt-Schauß M.; Sabel D.","Schmidt-Schauß, Manfred (6603913050); Sabel, David (22136073800)","6603913050; 22136073800","Nominal unification with atom and context variables","2018","Leibniz International Proceedings in Informatics, LIPIcs","108","","28","","","","3","10.4230/LIPIcs.FSCD.2018.28","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049804093&doi=10.4230%2fLIPIcs.FSCD.2018.28&partnerID=40&md5=398710dc47ab5ac110f9ca811e0607e7","Conference paper","Final","","Scopus","2-s2.0-85049804093"
"Pradic P.; Riba C.","Pradic, Pierre (56786224600); Riba, Colin (24401945300)","56786224600; 24401945300","A curry-howard approach to church's synthesis","2017","Leibniz International Proceedings in Informatics, LIPIcs","84","","30","","","","3","10.4230/LIPIcs.FSCD.2017.30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030570835&doi=10.4230%2fLIPIcs.FSCD.2017.30&partnerID=40&md5=0e75fff20a3b8cd30af9b94f5520cdf8","Conference paper","Final","","Scopus","2-s2.0-85030570835"
"Akama Y.","Akama, Yohji (7006427622)","7006427622","The confluent terminating context-free substitutive rewriting system for the lambda-calculus with surjective pairing & terminal type","2017","Leibniz International Proceedings in Informatics, LIPIcs","84","","6","","","","0","10.4230/LIPIcs.FSCD.2017.6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030533532&doi=10.4230%2fLIPIcs.FSCD.2017.6&partnerID=40&md5=e7eaad820744570140d219d315db2fcf","Conference paper","Final","","Scopus","2-s2.0-85030533532"
"Jacob-Rao R.; Pientka B.; Thibodeau D.","Jacob-Rao, Rohan (57191370312); Pientka, Brigitte (8909787800); Thibodeau, David (55603422200)","57191370312; 8909787800; 55603422200","Index-stratified types","2018","Leibniz International Proceedings in Informatics, LIPIcs","108","","19","","","","7","10.4230/LIPIcs.FSCD.2018.19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049793795&doi=10.4230%2fLIPIcs.FSCD.2018.19&partnerID=40&md5=3e35afbcebe140ed0fac17231bd4fa87","Conference paper","Final","","Scopus","2-s2.0-85049793795"
"Ayala-Rincón M.; Fernández M.; Nantes-Sobrinho D.","Ayala-Rincón, Mauricio (6507737823); Fernández, Maribel (7403378720); Nantes-Sobrinho, Daniele (57190129106)","6507737823; 7403378720; 57190129106","Nominal narrowing","2016","Leibniz International Proceedings in Informatics, LIPIcs","52","","11","","","","19","10.4230/LIPIcs.FSCD.2016.11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977469650&doi=10.4230%2fLIPIcs.FSCD.2016.11&partnerID=40&md5=33afeeeac67d4dd8c214e23e4b8bafd8","Conference paper","Final","","Scopus","2-s2.0-84977469650"
"Arieli O.; Avron A.","Arieli, Ofer (6602072719); Avron, Arnon (55893928900)","6602072719; 55893928900","Minimal paradefinite logics for reasoning with incompleteness and inconsistency","2016","Leibniz International Proceedings in Informatics, LIPIcs","52","","7","","","","12","10.4230/LIPIcs.FSCD.2016.7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977534954&doi=10.4230%2fLIPIcs.FSCD.2016.7&partnerID=40&md5=ba5287896fb3b55c302657471856d88f","Conference paper","Final","","Scopus","2-s2.0-84977534954"
"Kesner D.; Pientka B.","Kesner, Delia (55937533100); Pientka, Brigitte (8909787800)","55937533100; 8909787800","Preface","2016","Leibniz International Proceedings in Informatics, LIPIcs","52","","","","","","0","10.4230/LIPIcs.FSCD.2016.0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977576750&doi=10.4230%2fLIPIcs.FSCD.2016.0&partnerID=40&md5=47113a93ba6e9dffb7036b12b19b3a5f","Editorial","Final","","Scopus","2-s2.0-84977576750"
"Bendkowski M.; Lescanne P.","Bendkowski, Maciej (56652256500); Lescanne, Pierre (6603707484)","56652256500; 6603707484","Counting environments and closures","2018","Leibniz International Proceedings in Informatics, LIPIcs","108","","11","","","","1","10.4230/LIPIcs.FSCD.2018.11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049780876&doi=10.4230%2fLIPIcs.FSCD.2018.11&partnerID=40&md5=04a2e47f29701fca45d4731710ec4c23","Conference paper","Final","","Scopus","2-s2.0-85049780876"
