"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Dayarathna M.; Suzumura T.","Dayarathna, Miyuru (23396290800); Suzumura, Toyotaro (6603022117)","23396290800; 6603022117","Hirundo: A mechanism for automated production of optimized data stream graphs","2012","ICPE'12 - Proceedings of the 3rd Joint WOSP/SIPEW International Conference on Performance Engineering","","","","335","346","11","7","10.1145/2188286.2188347","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861081466&doi=10.1145%2f2188286.2188347&partnerID=40&md5=6ce0979742463edffb53dfe0b87ed300","Conference paper","Final","","Scopus","2-s2.0-84861081466"
"Islam S.; Lee K.; Fekete A.; Liu A.","Islam, Sadeka (57215518201); Lee, Kevin (35388740900); Fekete, Alan (7005955245); Liu, Anna (36986821400)","57215518201; 35388740900; 7005955245; 36986821400","How a consumer can measure elasticity for cloud platforms","2012","ICPE'12 - Proceedings of the 3rd Joint WOSP/SIPEW International Conference on Performance Engineering","","","","85","96","11","108","10.1145/2188286.2188301","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861086757&doi=10.1145%2f2188286.2188301&partnerID=40&md5=a955e40e10ab47eaf56eae1b71b9c286","Conference paper","Final","","Scopus","2-s2.0-84861086757"
"Stingl D.; Gross C.; Kaune S.; Steinmetz R.; Saller K.","Stingl, Dominik (35276277300); Gross, Christian (57197208447); Kaune, Sebastian (24468052900); Steinmetz, Ralf (7006696975); Saller, Karsten (36697021200)","35276277300; 57197208447; 24468052900; 7006696975; 36697021200","Benchmarking decentralized monitoring mechanisms in peer-to-peer systems","2012","ICPE'12 - Proceedings of the 3rd Joint WOSP/SIPEW International Conference on Performance Engineering","","","","193","204","11","4","10.1145/2188286.2188317","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861081500&doi=10.1145%2f2188286.2188317&partnerID=40&md5=5b56f600cc4339cfa6e3268d0b43c009","Conference paper","Final","","Scopus","2-s2.0-84861081500"
"Van Ertvelde L.; Eeckhout L.","Van Ertvelde, Luk (15023342100); Eeckhout, Lieven (6602199755)","15023342100; 6602199755","Workload generation for microprocessor performance evaluation: SPEC PhD award (invited abstract)","2012","ICPE'12 - Proceedings of the 3rd Joint WOSP/SIPEW International Conference on Performance Engineering","","","","165","166","1","0","10.1145/2188286.2188313","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861044835&doi=10.1145%2f2188286.2188313&partnerID=40&md5=86be9b1b62fc85f8ed803babb164e50c","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84861044835"
"Olteanu A.-C.; Iosup A.; Ţãpuş N.","Olteanu, Alexandru-Corneliu (57197752589); Iosup, Alexandru (23392350500); Ţãpuş, Nicolae (24438398900)","57197752589; 23392350500; 24438398900","Towards a workload model for online social applications: ICPE 2013 work-in-progress paper","2013","ICPE 2013 - Proceedings of the 2013 ACM/SPEC International Conference on Performance Engineering","","","","319","322","3","2","10.1145/2479871.2479916","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878213116&doi=10.1145%2f2479871.2479916&partnerID=40&md5=86db86064a2d565f3bc4def8174ca6e7","Conference paper","Final","","Scopus","2-s2.0-84878213116"
"Subramaniam B.; Feng W.-C.","Subramaniam, Balaji (24766631200); Feng, Wu-Chun (57203512565)","24766631200; 57203512565","Towards energy-proportional computing for enterprise-class server workloads","2013","ICPE 2013 - Proceedings of the 2013 ACM/SPEC International Conference on Performance Engineering","","","","15","26","11","37","10.1145/2479871.2479878","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878192050&doi=10.1145%2f2479871.2479878&partnerID=40&md5=a4d74ae514d63c018950cae43901f619","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84878192050"
"Van Hoorn A.; Waller J.; Hasselbring W.","Van Hoorn, André (26421837600); Waller, Jan (42762407800); Hasselbring, Wilhelm (26643500000)","26421837600; 42762407800; 26643500000","Kieker: A framework for application performance monitoring and dynamic software analysis","2012","ICPE'12 - Proceedings of the 3rd Joint WOSP/SIPEW International Conference on Performance Engineering","","","","247","248","1","221","10.1145/2188286.2188326","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861019240&doi=10.1145%2f2188286.2188326&partnerID=40&md5=2c4581b4ee83dc7f5038d08a011b3f61","Conference paper","Final","","Scopus","2-s2.0-84861019240"
"Hsu C.-H.; Kuehn J.A.; Poole S.W.","Hsu, Chung-Hsing (36054431800); Kuehn, Jeffery A. (23485297600); Poole, Stephen W. (7102139257)","36054431800; 23485297600; 7102139257","Towards efficient supercomputing: Searching for the right efficiency metric","2012","ICPE'12 - Proceedings of the 3rd Joint WOSP/SIPEW International Conference on Performance Engineering","","","","157","162","5","12","10.1145/2188286.2188309","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861042376&doi=10.1145%2f2188286.2188309&partnerID=40&md5=6223ab4bf391a5bc3f7ea1eb4a6e8dfa","Conference paper","Final","","Scopus","2-s2.0-84861042376"
"Brebner P.","Brebner, Paul (56628479000)","56628479000","A performance modeling ""Blending"" approach for early life-cycle risk mitigation","2012","ICPE'12 - Proceedings of the 3rd Joint WOSP/SIPEW International Conference on Performance Engineering","","","","271","274","3","1","10.1145/2188286.2188336","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861043467&doi=10.1145%2f2188286.2188336&partnerID=40&md5=a26c5d6b55503becc6bf6abdf5221aec","Conference paper","Final","","Scopus","2-s2.0-84861043467"
"Weiss C.; Westermann D.; Heger C.; Moser M.","Weiss, Christian (57212016607); Westermann, Dennis (36171279500); Heger, Christoph (26430646400); Moser, Martin (55746746200)","57212016607; 36171279500; 26430646400; 55746746200","Systematic performance evaluation based on tailored benchmark applications","2013","ICPE 2013 - Proceedings of the 2013 ACM/SPEC International Conference on Performance Engineering","","","","411","420","9","6","10.1145/2479871.2479934","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878172167&doi=10.1145%2f2479871.2479934&partnerID=40&md5=338fff3de8b4176f59e417dafdd1bc01","Conference paper","Final","","Scopus","2-s2.0-84878172167"
"Piga L.; Gomes G.F.T.; Auler R.; Rosa B.; Rigo S.; Borin E.","Piga, Leonardo (34973226100); Gomes, Gabriel F.T. (57196628140); Auler, Rafael (55538957600); Rosa, Bruno (36551409700); Rigo, Sandro (57191605344); Borin, Edson (8299640100)","34973226100; 57196628140; 55538957600; 36551409700; 57191605344; 8299640100","Assessing computer performance with SToCS","2013","ICPE 2013 - Proceedings of the 2013 ACM/SPEC International Conference on Performance Engineering","","","","315","318","3","1","10.1145/2479871.2479915","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878208550&doi=10.1145%2f2479871.2479915&partnerID=40&md5=9c63e2786d5f7dce1230f7aaae4dc43e","Conference paper","Final","","Scopus","2-s2.0-84878208550"
"De Oliveira A.B.; Petkovich J.-C.; Reidemeister T.; Fischmeister S.","De Oliveira, Augusto Born (57197404472); Petkovich, Jean-Christophe (55746864000); Reidemeister, Thomas (14052437300); Fischmeister, Sebastian (14631648300)","57197404472; 55746864000; 14052437300; 14631648300","DataMill: Rigorous performance evaluation made easy","2013","ICPE 2013 - Proceedings of the 2013 ACM/SPEC International Conference on Performance Engineering","","","","137","148","11","30","10.1145/2479871.2479892","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878204194&doi=10.1145%2f2479871.2479892&partnerID=40&md5=fd5886d2522f0edf2f4c83ae08a20c52","Conference paper","Final","","Scopus","2-s2.0-84878204194"
"Brázdil T.; Korenčiak L.; Krčál J.; Křetínský J.; Řehák V.","Brázdil, Tomáš (8533253300); Korenčiak, Luboš (55370525100); Krčál, Jan (35174496200); Křetínský, Jan (56406498200); Řehák, Vojtěch (8352240800)","8533253300; 55370525100; 35174496200; 56406498200; 8352240800","On time-average limits in deterministic and stochastic Petri nets","2013","ICPE 2013 - Proceedings of the 2013 ACM/SPEC International Conference on Performance Engineering","","","","421","422","1","0","10.1145/2479871.2479936","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878171915&doi=10.1145%2f2479871.2479936&partnerID=40&md5=d6771ba62b84e58c2a6fb1bae9f91889","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84878171915"
