"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Gotlieb A.; Lazaar N.; Lebbah Y.","Gotlieb, Arnaud (56247674500); Lazaar, Nadjib (24833421000); Lebbah, Yahia (8842159400)","56247674500; 24833421000; 8842159400","Towards constraint-based local search for automatic test data generation","2008","2008 IEEE International Conference on Software Testing Verification and Validation Workshop, ICSTW'08","","","4567007","195","","","0","10.1109/ICSTW.2008.49","https://www.scopus.com/inward/record.uri?eid=2-s2.0-52249103323&doi=10.1109%2fICSTW.2008.49&partnerID=40&md5=440cd865e50f5f09711ee00bd7d11d1e","Conference paper","Final","","Scopus","2-s2.0-52249103323"
"Frantzen L.; Merayo M.G.; Núñez M.","Frantzen, Lars (8662132100); Merayo, Mercedes G. (14037866800); Núñez, Manuel (7202233380)","8662132100; 14037866800; 7202233380","Preface","2008","2008 IEEE International Conference on Software Testing Verification and Validation Workshop, ICSTW'08","","","4566985","ii","iii","","0","10.1109/ICSTW.2008.32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-52249089851&doi=10.1109%2fICSTW.2008.32&partnerID=40&md5=6f1e5e6627b602cd5f1a1d1f3faff173","Editorial","Final","","Scopus","2-s2.0-52249089851"
"Lechner A.; Breu R.","Lechner, Alexander (16175256500); Breu, Ruth (55885332900)","16175256500; 55885332900","Workflow inspector - A test tool for microsoft workflow foundation","2008","Proceedings of the 1st International Conference on Software Testing, Verification and Validation, ICST 2008","","","4539579","498","501","3","1","10.1109/ICST.2008.54","https://www.scopus.com/inward/record.uri?eid=2-s2.0-50649119727&doi=10.1109%2fICST.2008.54&partnerID=40&md5=ae6416bd8a11a96bcac398dec6646264","Conference paper","Final","","Scopus","2-s2.0-50649119727"
"Kaplan M.; Klinger T.; Paradkar A.M.; Sinha A.; Williams C.; Yilmaz C.","Kaplan, Matthew (57199771273); Klinger, Tim (16307238000); Paradkar, Amit M. (35615865300); Sinha, Avik (12779493800); Williams, Clay (14421824100); Yilmaz, Cemal (57199655575)","57199771273; 16307238000; 35615865300; 12779493800; 14421824100; 57199655575","Less is more: A minimalistic approach to UML model-based conformance test generation","2008","Proceedings of the 1st International Conference on Software Testing, Verification and Validation, ICST 2008","","","4539535","82","91","9","14","10.1109/ICST.2008.48","https://www.scopus.com/inward/record.uri?eid=2-s2.0-50649110515&doi=10.1109%2fICST.2008.48&partnerID=40&md5=e78e06a8ce2e1a8212149bf03865f7ca","Conference paper","Final","","Scopus","2-s2.0-50649110515"
"Plösch R.; Gruber H.; Pomberger G.; Saft M.; Schiffer S.","Plösch, R. (6506322162); Gruber, H. (56207787500); Pomberger, G. (22433446600); Saft, M. (23992624800); Schiffer, S. (56586967500)","6506322162; 56207787500; 22433446600; 23992624800; 56586967500","Tool support for expert-centred code assessments","2008","Proceedings of the 1st International Conference on Software Testing, Verification and Validation, ICST 2008","","","4539553","258","267","9","6","10.1109/ICST.2008.43","https://www.scopus.com/inward/record.uri?eid=2-s2.0-50649093777&doi=10.1109%2fICST.2008.43&partnerID=40&md5=10f5b1aabccd6ae43cf3c0c61e097355","Conference paper","Final","","Scopus","2-s2.0-50649093777"
"Kim M.; Kim Y.; Choi Y.; Kim H.","Kim, Moonzoo (8726943400); Kim, Yunho (55699526600); Choi, Yunja (54972885300); Kim, Hotae (56981367700)","8726943400; 55699526600; 54972885300; 56981367700","Pre-testing flash device driver through model checking techniques","2008","Proceedings of the 1st International Conference on Software Testing, Verification and Validation, ICST 2008","","","4539576","475","484","9","11","10.1109/ICST.2008.55","https://www.scopus.com/inward/record.uri?eid=2-s2.0-50649090942&doi=10.1109%2fICST.2008.55&partnerID=40&md5=710678480911370b5bc23e79a6275f84","Conference paper","Final","","Scopus","2-s2.0-50649090942"
"Ware M.P.; Wilkie F.G.; Shapcott M.","Ware, M.P. (16311229900); Wilkie, F.G. (7006392103); Shapcott, M. (6508044692)","16311229900; 7006392103; 6508044692","The use of intra-release product measures in predicting release readiness","2008","Proceedings of the 1st International Conference on Software Testing, Verification and Validation, ICST 2008","","","4539550","230","237","7","7","10.1109/ICST.2008.11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-50649093778&doi=10.1109%2fICST.2008.11&partnerID=40&md5=5e8a82177c2f8d89e6bef18188fac892","Conference paper","Final","","Scopus","2-s2.0-50649093778"
"Izurieta C.; Bieman J.M.","Izurieta, Clemente (16238582400); Bieman, James M. (57164580400)","16238582400; 57164580400","Testing consequences of grime buildup in object oriented design patterns","2008","Proceedings of the 1st International Conference on Software Testing, Verification and Validation, ICST 2008","","","4539544","171","179","8","31","10.1109/ICST.2008.27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-50649118111&doi=10.1109%2fICST.2008.27&partnerID=40&md5=30a42c51929ccd602161013739d8bc7d","Conference paper","Final","","Scopus","2-s2.0-50649118111"
"Chimiak-Opoka J.; Felderer M.; Lenz C.; Lange C.","Chimiak-Opoka, Joanna (13606885800); Felderer, Michael (24832720900); Lenz, Chris (57189392133); Lange, Christian (57197436989)","13606885800; 24832720900; 57189392133; 57197436989","Querying UML models using OCL and Prolog: A performance study","2008","2008 IEEE International Conference on Software Testing Verification and Validation Workshop, ICSTW'08","","","4566994","81","88","7","23","10.1109/ICSTW.2008.33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-52249118813&doi=10.1109%2fICSTW.2008.33&partnerID=40&md5=c97365dea46561449c86e25f2407c406","Conference paper","Final","","Scopus","2-s2.0-52249118813"
"Simons A.J.H.; Thomson C.D.","Simons, Anthony J. H. (55073680300); Thomson, Christopher D. (24479037800)","55073680300; 24479037800","Benchmarking effectiveness for object-oriented unit testing","2008","2008 IEEE International Conference on Software Testing Verification and Validation Workshop, ICSTW'08","","","4567038","375","379","4","4","10.1109/ICSTW.2008.10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-52249114730&doi=10.1109%2fICSTW.2008.10&partnerID=40&md5=cde9c19cda3241d8d9f6a77ba8c5a4c7","Conference paper","Final","","Scopus","2-s2.0-52249114730"
