"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Wang H.; Manor S.; LaFollette D.; Nesher N.; King K.-J.; Wang P.; Levy S.; Satt S.; Carmeli G.; Kapur A.; Schoinas I.; Rubinstein E.; Bhatt R.","Wang, Hong (56252838100); Manor, S. (6505995846); LaFollette, D. (56893705000); Nesher, N. (56893525600); King, Ku-Jei (59599734200); Wang, Perry (9737025300); Levy, Shay (57203052877); Satt, Shai (56893723000); Carmeli, Gal (56893691600); Kapur, Arjun (14015848100); Schoinas, Ioannis (7801464125); Rubinstein, Ed (56893235900); Bhatt, Rahul (36827721600)","56252838100; 6505995846; 56893705000; 56893525600; 59599734200; 9737025300; 57203052877; 56893723000; 56893691600; 14015848100; 7801464125; 56893235900; 36827721600","Inferno: A functional simulation infrastructure for modeling microarchitectural data speculations","2003","2003 IEEE International Symposium on Performance Analysis of Systems and Software, ISPASS 2003","","","1190228","11","21","10","3","10.1109/ISPASS.2003.1190228","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646023967&doi=10.1109%2fISPASS.2003.1190228&partnerID=40&md5=06b0a4a0d4805e043b46f01f5e9f86a7","Conference paper","Final","","Scopus","2-s2.0-33646023967"
"Sarkar V.; Megiddo N.","Sarkar, V. (57204320465); Megiddo, N. (7005649923)","57204320465; 7005649923","An analytical model for loop tiling and its solution","2000","2000 IEEE International Symposium on Performance Analysis of Systems and Software, ISPASS 2000","","","842294","146","153","7","38","10.1109/ISPASS.2000.842294","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748307622&doi=10.1109%2fISPASS.2000.842294&partnerID=40&md5=9685a28fa95a4a146f520036d3c80232","Conference paper","Final","","Scopus","2-s2.0-33748307622"
"Bermudo N.; Vera X.; González A.; Llosa J.","Bermudo, N. (6508125440); Vera, X. (8053669200); González, A. (58587126700); Llosa, J. (7003466550)","6508125440; 8053669200; 58587126700; 7003466550","An efficient solver for Cache Miss Equations","2000","2000 IEEE International Symposium on Performance Analysis of Systems and Software, ISPASS 2000","","","842293","139","145","6","11","10.1109/ISPASS.2000.842293","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899747534&doi=10.1109%2fISPASS.2000.842293&partnerID=40&md5=c3064da0144d2a06545ec9d062db4c3f","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84899747534"
"Annavaram M.; Tyson G.S.; Davidson E.S.","Annavaram, M. (57195496128); Tyson, G.S. (7004371079); Davidson, E.S. (7402237735)","57195496128; 7004371079; 7402237735","Instruction overhead and data locality effects in superscalar processors","2000","2000 IEEE International Symposium on Performance Analysis of Systems and Software, ISPASS 2000","","","842287","95","100","5","1","10.1109/ISPASS.2000.842287","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962140599&doi=10.1109%2fISPASS.2000.842287&partnerID=40&md5=34c8f123f9f9839d6cebe1d051050fb2","Conference paper","Final","","Scopus","2-s2.0-84962140599"
"Xu R.; Li Z.","Xu, Rong (7402813835); Li, Zhiyuan (57203558028)","7402813835; 57203558028","Using cache mapping to improve memory performance of handheld devices","2004","2004 IEEE International Symposium on Performance Analysis of Systems and Software","","","","106","114","8","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2642585003&partnerID=40&md5=c4a1f8058b709040f8e5a99cc01df082","Conference paper","Final","","Scopus","2-s2.0-2642585003"
"Liu H.; Fang H.","Liu, Hong (55719418300); Fang, Hongdu (57188662028)","55719418300; 57188662028","Real-time image on QoS Web","2000","2000 IEEE International Symposium on Performance Analysis of Systems and Software, ISPASS 2000","","","842284","70","75","5","1","10.1109/ISPASS.2000.842284","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962195630&doi=10.1109%2fISPASS.2000.842284&partnerID=40&md5=fb350857052503032c16412ff7bfd2b6","Conference paper","Final","","Scopus","2-s2.0-84962195630"
"Huang W.; Srisa-An W.; Chang J.M.","Huang, Wei (55709615200); Srisa-An, Witawas (6603394806); Chang, J. Morris (35087265700)","55709615200; 6603394806; 35087265700","Dynamic pretenuring schemes for generational garbage collection","2004","2004 IEEE International Symposium on Performance Analysis of Systems and Software","","","","133","140","7","15","10.1300/J371v12n02_03","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2642585002&doi=10.1300%2fJ371v12n02_03&partnerID=40&md5=6d9f5f77874b7d365b6f50986fe0c918","Conference paper","Final","","Scopus","2-s2.0-2642585002"
"Skotiniotis T.; Chang M.J.","Skotiniotis, Therapon (6506278365); Chang, Morris J. (35087265700)","6506278365; 35087265700","Estimating internal memory fragmentation for Java programs under the binary buddy policy","2001","2001 IEEE International Symposium on Performance Analysis of Systems and Software, ISPASS 2001","","","990681","85","92","7","1","10.1109/ISPASS.2001.990681","https://www.scopus.com/inward/record.uri?eid=2-s2.0-22944475487&doi=10.1109%2fISPASS.2001.990681&partnerID=40&md5=b981b4c417a4a0795dea95507b65d373","Conference paper","Final","","Scopus","2-s2.0-22944475487"
"Driesen K.; Colette J.; Ji F.; Jourdain M.; Fahmi M.; Ghuneim A.; Hersi E.; Kahwa J.; Khan H.R.; Kwan C.; Mahyari A.; Miecknikowski J.; Oulmane M.; Perucic M.; Pirbay A.; Solomon L.; Taoko J.J.; Tan L.H.; Qian F.; Zhang H.; Zhang L.; Zhang S.; Renner W.","Driesen, K. (6602169013); Colette, J. (57188664826); Ji, Feng (57206273986); Jourdain, M. (57188664352); Fahmi, M. (57188668416); Ghuneim, A. (57188670959); Hersi, E. (57188661076); Kahwa, J. (57188669790); Khan, H.R. (57188671094); Kwan, C. (57206414681); Mahyari, A. (57222238592); Miecknikowski, J. (57188666349); Oulmane, M. (56377021500); Perucic, M. (57188670872); Pirbay, A. (57188669356); Solomon, L. (57188662114); Taoko, J.J. (57188660278); Tan, Lip Hooi (57188669962); Qian, Feng (36942246900); Zhang, Honghao (57188669229); Zhang, Lingyan (57188662778); Zhang, Su (57188663139); Renner, W. (57188662309)","6602169013; 57188664826; 57206273986; 57188664352; 57188668416; 57188670959; 57188661076; 57188669790; 57188671094; 57206414681; 57222238592; 57188666349; 56377021500; 57188670872; 57188669356; 57188662114; 57188660278; 57188669962; 36942246900; 57188669229; 57188662778; 57188663139; 57188662309","Simplified workload characterization using unified prediction","2000","2000 IEEE International Symposium on Performance Analysis of Systems and Software, ISPASS 2000","","","842296","163","171","8","0","10.1109/ISPASS.2000.842296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962143502&doi=10.1109%2fISPASS.2000.842296&partnerID=40&md5=62a4b9ca5175d651379a24d7a0e97082","Conference paper","Final","","Scopus","2-s2.0-84962143502"
"Berg E.; Hagersten E.","Berg, Erik (57197164121); Hagersten, Erik (6602369729)","57197164121; 6602369729","StatCache: A probabilistic approach to efficient and accurate data locality analysis","2004","2004 IEEE International Symposium on Performance Analysis of Systems and Software","","","","20","27","7","125","10.1109/ISPASS.2004.1291352","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2642534571&doi=10.1109%2fISPASS.2004.1291352&partnerID=40&md5=b09ed288a3480be9740e5c32c80387ac","Conference paper","Final","","Scopus","2-s2.0-2642534571"
"Bhargava R.; John L.K.","Bhargava, R. (7102281665); John, L.K. (7102160842)","7102281665; 7102160842","Issues in the design of store buffers in dynamically scheduled processors","2000","2000 IEEE International Symposium on Performance Analysis of Systems and Software, ISPASS 2000","","","842285","76","87","11","5","10.1109/ISPASS.2000.842285","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749396196&doi=10.1109%2fISPASS.2000.842285&partnerID=40&md5=eb0fedc44dd8ca1c2b808ce43caf9271","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-33749396196"
"Rajamani K.; Lefurgy C.","Rajamani, K. (7003991284); Lefurgy, C. (6602546724)","7003991284; 6602546724","On evaluating request-distribution schemes for saving energy in server clusters","2003","2003 IEEE International Symposium on Performance Analysis of Systems and Software, ISPASS 2003","","","1190238","111","122","11","149","10.1109/ISPASS.2003.1190238","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865191372&doi=10.1109%2fISPASS.2003.1190238&partnerID=40&md5=66f68b85484c3cd005132719c57d56a2","Conference paper","Final","","Scopus","2-s2.0-84865191372"
"Kalamatianos J.; Kaeli D.R.","Kalamatianos, J. (6603454784); Kaeli, D.R. (7003340827)","6603454784; 7003340827","Accurate simulation and evaluation of code reordering","2000","2000 IEEE International Symposium on Performance Analysis of Systems and Software, ISPASS 2000","","","842275","13","20","7","2","10.1109/ISPASS.2000.842275","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962143514&doi=10.1109%2fISPASS.2000.842275&partnerID=40&md5=6c5dfd85e1ae7daaaf85fc71072c4179","Conference paper","Final","","Scopus","2-s2.0-84962143514"
"Wolf T.; Franklin M.","Wolf, T. (7201702112); Franklin, M. (7202284199)","7201702112; 7202284199","CommBench - A telecommunications benchmark for network processors","2000","2000 IEEE International Symposium on Performance Analysis of Systems and Software, ISPASS 2000","","","842295","154","162","8","138","10.1109/ISPASS.2000.842295","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962150392&doi=10.1109%2fISPASS.2000.842295&partnerID=40&md5=bbf346466095b588af13ea18db6e3594","Conference paper","Final","","Scopus","2-s2.0-84962150392"
"Kant K.; Sundaram C.R.M.","Kant, K. (57203049014); Sundaram, C.R.M. (7006849988)","57203049014; 7006849988","A server performance model for static Web workloads","2000","2000 IEEE International Symposium on Performance Analysis of Systems and Software, ISPASS 2000","","","842301","201","206","5","14","10.1109/ISPASS.2000.842301","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250677589&doi=10.1109%2fISPASS.2000.842301&partnerID=40&md5=f7cb53765741f558ec14b2b506216d74","Conference paper","Final","","Scopus","2-s2.0-34250677589"
"Gómez M.E.; Santonja V.","Gómez, M.E. (13806251100); Santonja, V. (6602252888)","13806251100; 6602252888","A new approach in the analysis and modeling of disk access patterns","2000","2000 IEEE International Symposium on Performance Analysis of Systems and Software, ISPASS 2000","","","842297","172","177","5","13","10.1109/ISPASS.2000.842297","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947939588&doi=10.1109%2fISPASS.2000.842297&partnerID=40&md5=54854160fa94b79a73767deb9c916e08","Conference paper","Final","","Scopus","2-s2.0-84947939588"
"Joseph R.; Martonosi M.; Hu Z.","Joseph, Russ (20435835700); Martonosi, Maraget (7004012318); Hu, Zhigang (57192781910)","20435835700; 7004012318; 57192781910","Spectral analysis for characterizing program power and performance","2004","2004 IEEE International Symposium on Performance Analysis of Systems and Software","","","","151","160","9","9","10.1109/ISPASS.2004.1291367","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2642517302&doi=10.1109%2fISPASS.2004.1291367&partnerID=40&md5=70d3d3655a0796e88326cea10b576a00","Conference paper","Final","","Scopus","2-s2.0-2642517302"
"Alvim Seabra Dos Santos D.; Borges Vieira A.; Ribeiro-Neto B.; Vale Aguiar Campos S.","Alvim Seabra Dos Santos, D. (56893790200); Borges Vieira, A. (35079585800); Ribeiro-Neto, B. (55884599500); Vale Aguiar Campos, S. (56893807300)","56893790200; 35079585800; 55884599500; 56893807300","Performance analysis and optimization of a distributed Video on Demand service","2003","2003 IEEE International Symposium on Performance Analysis of Systems and Software, ISPASS 2003","","","1190242","156","165","9","1","10.1109/ISPASS.2003.1190242","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943404491&doi=10.1109%2fISPASS.2003.1190242&partnerID=40&md5=758ab881e6cbfa346f0cb2ee84d450b9","Conference paper","Final","","Scopus","2-s2.0-84943404491"
