"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Goseva-Popstojanova K.D.","Goseva-Popstojanova, K.D. (6602778978)","6602778978","A new Markov model of N version programming systems","1991","Proceedings - International Symposium on Software Reliability Engineering, ISSRE","","","145382","210","215","5","7","10.1109/ISSRE.1991.145382","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958605687&doi=10.1109%2fISSRE.1991.145382&partnerID=40&md5=1ae9c9caeffa0f0cdef8577f50c7d4c6","Conference paper","Final","","Scopus","2-s2.0-77958605687"
"Jones W.D.","Jones, W.D. (56309634900)","56309634900","Reliability models for very large software systems in industry","1991","Proceedings - International Symposium on Software Reliability Engineering, ISSRE","","","145351","35","42","7","21","10.1109/ISSRE.1991.145351","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955665355&doi=10.1109%2fISSRE.1991.145351&partnerID=40&md5=386be63b2130ca8b8f7639a240729bba","Conference paper","Final","","Scopus","2-s2.0-77955665355"
"Khoshgoftaar T.M.; Lanning D.L.; Pandya A.S.","Khoshgoftaar, Taghi M. (7006211475); Lanning, David L. (7006225319); Pandya, Abhijit S. (35572325700)","7006211475; 7006225319; 35572325700","A neural network modeling methodology for the detection of high-risk programs","1993","Proceedings - International Symposium on Software Reliability Engineering, ISSRE","","","624300","302","309","7","17","10.1109/ISSRE.1993.624300","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0004147094&doi=10.1109%2fISSRE.1993.624300&partnerID=40&md5=a24055828ee97347775834a713b1f427","Conference paper","Final","","Scopus","2-s2.0-0004147094"
"Kenney G.Q.; Vouk M.A.","Kenney, Garrison Q. (7007036520); Vouk, Mladen A. (7004021808)","7007036520; 7004021808","Measuring the field quality of wide-distribution commercial software","1992","Proceedings - International Symposium on Software Reliability Engineering, ISSRE","","","285906","351","357","6","8","10.1109/ISSRE.1992.285906","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941536590&doi=10.1109%2fISSRE.1992.285906&partnerID=40&md5=1344ab93ab3862bde76f8f7aa2e70c8b","Conference paper","Final","","Scopus","2-s2.0-84941536590"
"Goel A.L.; Sahoo S.N.","Goel, A.L. (7201830228); Sahoo, S.N. (57209342340)","7201830228; 57209342340","Formal specifications and reliability: An experimental study","1991","Proceedings - International Symposium on Software Reliability Engineering, ISSRE","","","145368","139","142","3","2","10.1109/ISSRE.1991.145368","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84915985234&doi=10.1109%2fISSRE.1991.145368&partnerID=40&md5=a4cf033fa47cf4f5911e1531e6daf8c9","Conference paper","Final","","Scopus","2-s2.0-84915985234"
"Torii K.","Torii, Koji (7201564311)","7201564311","Current trends of the software reliability in Japan and needs of future related activities","1993","Proceedings - International Symposium on Software Reliability Engineering, ISSRE","","","624268","2","3","1","0","10.1109/ISSRE.1993.624268","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064770498&doi=10.1109%2fISSRE.1993.624268&partnerID=40&md5=f11cda2d48befa3bbe060a2e288928a7","Conference paper","Final","","Scopus","2-s2.0-85064770498"
"Wu K.; Malaiya Y.K.","Wu, Kang (57208428274); Malaiya, Yashwant K. (35619571700)","57208428274; 35619571700","The effect of correlated faults on software reliability","1993","Proceedings - International Symposium on Software Reliability Engineering, ISSRE","","","624277","80","89","9","6","10.1109/ISSRE.1993.624277","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78751495791&doi=10.1109%2fISSRE.1993.624277&partnerID=40&md5=52302c7fc974da7722253bd50ae7c08e","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-78751495791"
"Chen I.-R.; Tsao T.-W.; Bastani F.","Chen, Ing-Ray (7402043269); Tsao, Ta-Wei (7102651871); Bastani, Farokh (7006067756)","7402043269; 7102651871; 7006067756","Reliability of uniprocessor and multiprocessor real-time artificial intelligence planning systems","1993","Proceedings - International Symposium on Software Reliability Engineering, ISSRE","","","624285","160","167","7","0","10.1109/ISSRE.1993.624285","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064747880&doi=10.1109%2fISSRE.1993.624285&partnerID=40&md5=c4d6e8a7d33539c89228dc5103932e61","Conference paper","Final","","Scopus","2-s2.0-85064747880"
"Xie M.; Zhao M.","Xie, M. (9634359100); Zhao, M. (55542562900)","9634359100; 55542562900","The Schneidewind software reliability model revisited","1992","Proceedings - International Symposium on Software Reliability Engineering, ISSRE","","","285846","184","192","8","78","10.1109/ISSRE.1992.285846","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063922663&doi=10.1109%2fISSRE.1992.285846&partnerID=40&md5=1f622e01d4ef17789ff24ee3d718f345","Conference paper","Final","","Scopus","2-s2.0-85063922663"
"Suh B.-H.; Hudak J.; Siewiorek D.; Segall Z.","Suh, Byung-Hoon (7103193867); Hudak, John (36877718500); Siewiorek, Dan (7004535258); Segall, Zary (7003494086)","7103193867; 36877718500; 7004535258; 7003494086","Development of a benchmark to measure system robustness: Experiences and lessons learned","1992","Proceedings - International Symposium on Software Reliability Engineering, ISSRE","","","285888","237","245","8","2","10.1109/ISSRE.1992.285888","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867397941&doi=10.1109%2fISSRE.1992.285888&partnerID=40&md5=14b5f10e0ab744898320a7a962d99fb7","Conference paper","Final","","Scopus","2-s2.0-84867397941"
"Uryu S.; Shimizu M.","Uryu, Shin'ichi (57208428467); Shimizu, Mariko (57208420739)","57208428467; 57208420739","System simulation testing: Pre-delivery testing to ensure system dependability","1993","Proceedings - International Symposium on Software Reliability Engineering, ISSRE","","","624290","208","217","9","1","10.1109/ISSRE.1993.624290","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952830516&doi=10.1109%2fISSRE.1993.624290&partnerID=40&md5=e01670931fc999dd5cccb088a60d52fa","Conference paper","Final","","Scopus","2-s2.0-84952830516"
"Juhlin B.D.","Juhlin, B.D. (57208878641)","57208878641","Implementing operational profiles to measure system reliability","1992","Proceedings - International Symposium on Software Reliability Engineering, ISSRE","","","285896","286","295","9","12","10.1109/ISSRE.1992.285896","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3543149285&doi=10.1109%2fISSRE.1992.285896&partnerID=40&md5=888a8570d7120885592c60db20f97b73","Conference paper","Final","","Scopus","2-s2.0-3543149285"
