"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Wang A.; Anwar M.; Lan F.; Caesar M.","Wang, Anduo (57190736783); Anwar, Mubashir (57912635400); Lan, Fangping (57237658900); Caesar, Matthew (15043578000)","57190736783; 57912635400; 57237658900; 15043578000","Structural Semantics Management: an Application of the Chase in Networking","2023","Proceedings - IEEE Computer Society's Annual International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunications Systems, MASCOTS","","","","","","","0","10.1109/MASCOTS59514.2023.10387636","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184519451&doi=10.1109%2fMASCOTS59514.2023.10387636&partnerID=40&md5=4bdb1e861729ff2d85f5de4b9004f5f4","Conference paper","Final","","Scopus","2-s2.0-85184519451"
"Li B.; Lan Z.; Papka M.E.","Li, Boyang (57209980600); Lan, Zhiling (7007067051); Papka, Michael E. (57226848953)","57209980600; 7007067051; 57226848953","Interpretable Modeling of Deep Reinforcement Learning Driven Scheduling","2023","Proceedings - IEEE Computer Society's Annual International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunications Systems, MASCOTS","","","","","","","0","10.1109/MASCOTS59514.2023.10387651","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184518243&doi=10.1109%2fMASCOTS59514.2023.10387651&partnerID=40&md5=40b34b95a7bc31abd76d9cf5dc004cb4","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85184518243"
"Khaleel S.; Udayashankar S.; Al-Kiswany S.","Khaleel, Seba (59515631700); Udayashankar, Sreeharsha (57220805532); Al-Kiswany, Samer (23391754000)","59515631700; 57220805532; 23391754000","Slicify: Fault Injection Testing for Network Partitions","2024","Proceedings - IEEE Computer Society's Annual International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunications Systems, MASCOTS","","","","","","","1","10.1109/MASCOTS64422.2024.10786337","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215099848&doi=10.1109%2fMASCOTS64422.2024.10786337&partnerID=40&md5=fe19c79d8fae27737b150c6ec9f7bddf","Conference paper","Final","","Scopus","2-s2.0-85215099848"
"Altwlkany K.; Hadzic H.; Kuric A.; Lacic E.","Altwlkany, Kemal (57215332602); Hadzic, Hadzem (58509998600); Kuric, Amar (59445109200); Lacic, Emanuel (55844291000)","57215332602; 58509998600; 59445109200; 55844291000","Knowledge Distillation for Real-Time Classification of Early Media in Voice Communications","2024","Proceedings - IEEE Computer Society's Annual International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunications Systems, MASCOTS","","","","","","","0","10.1109/MASCOTS64422.2024.10786538","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215073218&doi=10.1109%2fMASCOTS64422.2024.10786538&partnerID=40&md5=b9db484103033565075291813cc72c75","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85215073218"
"Hu J.; Liu H.; Jin H.; Liao X.","Hu, Jinyuan (58138834400); Liu, Haikun (8258281700); Jin, Hai (56434989100); Liao, Xiaofei (7202134186)","58138834400; 8258281700; 56434989100; 7202134186","Design and Simulation of Multi-tiered Heterogeneous Memory Architecture","2022","Proceedings - IEEE Computer Society's Annual International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunications Systems, MASCOTS","2022-October","","","113","120","7","0","10.1109/MASCOTS56607.2022.00023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149949469&doi=10.1109%2fMASCOTS56607.2022.00023&partnerID=40&md5=86bad5e8d91f086e5bddd9d93acc2794","Conference paper","Final","","Scopus","2-s2.0-85149949469"
"Zhu Y.; Wang C.; Calman M.; Nakazawa R.; Lee E.K.","Zhu, Yue (58998048500); Wang, Chen (57157809200); Calman, Max (59044156300); Nakazawa, Rina (55433789800); Lee, Eun Kyung (59109733200)","58998048500; 57157809200; 59044156300; 55433789800; 59109733200","Optimizing GPU Multiplexing for Efficient and Cost-Effective Access to Diverse Large Language Models in GPU Clusters","2024","Proceedings - IEEE Computer Society's Annual International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunications Systems, MASCOTS","","","","","","","0","10.1109/MASCOTS64422.2024.10786517","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215077938&doi=10.1109%2fMASCOTS64422.2024.10786517&partnerID=40&md5=5d8edff6f361c4d8db05b315edf87852","Conference paper","Final","","Scopus","2-s2.0-85215077938"
"El-Sayed N.; Sun Z.; Sun K.; Mayerhofer R.","El-Sayed, Nosayba (57201841124); Sun, Zhuoran (57419119500); Sun, Ke (57419119600); Mayerhofer, Ricardo (57202587123)","57201841124; 57419119500; 57419119600; 57202587123","OLTP In Real Life: A Large-scale Study of Database Behavior in Modern Online Retail","2021","Proceedings - IEEE Computer Society's Annual International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunications Systems, MASCOTS","","","","","","","1","10.1109/MASCOTS53633.2021.9614295","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123217165&doi=10.1109%2fMASCOTS53633.2021.9614295&partnerID=40&md5=62804fb4aa069f79fc2cd21f5533c549","Conference paper","Final","","Scopus","2-s2.0-85123217165"
"Anggraito A.; Olliaro D.; Marin A.; Marsan M.A.","Anggraito, Adityo (57429602600); Olliaro, Diletta (58249752300); Marin, Andrea (19638908000); Marsan, Marco Ajmone (7006441091)","57429602600; 58249752300; 19638908000; 7006441091","The Non-Saturated Multiserver Job Queuing Model with Two Job Classes: A Matrix Geometric Analysis","2024","Proceedings - IEEE Computer Society's Annual International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunications Systems, MASCOTS","","","","","","","0","10.1109/MASCOTS64422.2024.10786546","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215074944&doi=10.1109%2fMASCOTS64422.2024.10786546&partnerID=40&md5=05857b3804c6d3933db31b6b8095aec1","Conference paper","Final","","Scopus","2-s2.0-85215074944"
"Iliadis I.; Jordan L.; Lantz M.; Sarafijanovic S.","Iliadis, Ilias (6701839972); Jordan, Linus (57211279899); Lantz, Mark (7005888350); Sarafijanovic, Slavisa (8856942100)","6701839972; 57211279899; 7005888350; 8856942100","Performance Evaluation of Automated Tape Library Systems","2021","Proceedings - IEEE Computer Society's Annual International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunications Systems, MASCOTS","","","","","","","4","10.1109/MASCOTS53633.2021.9614293","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123205445&doi=10.1109%2fMASCOTS53633.2021.9614293&partnerID=40&md5=dc8dc9436e8bd3e8efacfb2e17a5cb71","Conference paper","Final","","Scopus","2-s2.0-85123205445"
"Van Houdt B.","Van Houdt, Benny (6602838973)","6602838973","On the Performance Evaluation of Distributed Join-Idle-Queue Load Balancing","2023","Proceedings - IEEE Computer Society's Annual International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunications Systems, MASCOTS","","","","","","","0","10.1109/MASCOTS59514.2023.10387609","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183408870&doi=10.1109%2fMASCOTS59514.2023.10387609&partnerID=40&md5=690c9a13ff6eaf15bf42c71bb5ee2d33","Conference paper","Final","","Scopus","2-s2.0-85183408870"
