"Year","Conference","Submissions","Published"
2025,"QEST+FORMATS",57,26
2024,"QEST+FORMATS",33,19
2023,"QEST+FORMATS",65,32
2022,"QEST+FORMATS",74,34
2021,"QEST+FORMATS",66,33
2020,"QEST+FORMATS",84,37
2025,"IFM",0,0
2024,"IFM",58,19
2023,"IFM",51,18
2022,"IFM",46,16
2021,"IFM",0,0
2020,"IFM",63,26
2025,"CSL",113,44
2024,"CSL",86,42
2023,"CSL",75,34
2022,"CSL",75,35
2021,"CSL",82,34
2020,"CSL",82,32
2025,"RV",0,0
2024,"RV",31,18
2023,"RV",39,26
2022,"RV",40,22
2021,"RV",40,18
2020,"RV",43,29
2025,"VMCAI",48,40
2024,"VMCAI",74,30
2025,"ICPE res. track",0,0
2024,"ICPE res. track",52,18
2023,"VMCAI",34,17
2022,"ICPE res. track",38,9
2023,"ICPE res. track",46,15
2021,"ICPE res. track",43,12
2020,"ICPE res. track",62,15
2022,"VMCAI",48,22
2021,"VMCAI",48,23
2020,"VMCAI",44,21
