"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Prakash N.; Goyal S.B.","Prakash, Naveen (7006246037); Goyal, S.B. (57221110119)","7006246037; 57221110119","Method architecture for situational method engineering","2008","Proceedings of the 2nd International Conference on Research Challenges in Information Science, RCIS 2008","","","4632122","325","335","10","2","10.1109/RCIS.2008.4632122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-57349186756&doi=10.1109%2fRCIS.2008.4632122&partnerID=40&md5=755738d92db5eff708203449645e0c7f","Conference paper","Final","","Scopus","2-s2.0-57349186756"
"Ouertani M.Z.; Parlikad A.K.; McFarlane D.","Ouertani, Mohamed Z. (18434510800); Parlikad, Ajith K. (9736080300); McFarlane, Duncan (7006198499)","18434510800; 9736080300; 7006198499","Asset information management: Research challenges","2008","Proceedings of the 2nd International Conference on Research Challenges in Information Science, RCIS 2008","","","4632126","361","370","9","14","10.1109/RCIS.2008.4632126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-57349094377&doi=10.1109%2fRCIS.2008.4632126&partnerID=40&md5=fc52439d5b62247ded46f043dc7a0970","Conference paper","Final","","Scopus","2-s2.0-57349094377"
"Tang Y.; Christiaens S.; Kerremans K.; Meersman R.","Tang, Yan (23390835800); Christiaens, Stijn (15134769600); Kerremans, Koen (15136438400); Meersman, Robert (6701353521)","23390835800; 15134769600; 15136438400; 6701353521","PROFILE COMPILER: Ontology-based, community-grounded, multilingual online services to support collaborative decision making","2008","Proceedings of the 2nd International Conference on Research Challenges in Information Science, RCIS 2008","","","4632117","279","287","8","1","10.1109/RCIS.2008.4632117","https://www.scopus.com/inward/record.uri?eid=2-s2.0-57349096557&doi=10.1109%2fRCIS.2008.4632117&partnerID=40&md5=f33934853dd499e77a24e3073377907d","Conference paper","Final","","Scopus","2-s2.0-57349096557"
"El Ghazi H.; Assar S.","El Ghazi, Hamid (57315525300); Assar, Saïd (24823848000)","57315525300; 24823848000","A multi view based traceability management method","2008","Proceedings of the 2nd International Conference on Research Challenges in Information Science, RCIS 2008","","","4632129","393","399","6","5","10.1109/RCIS.2008.4632129","https://www.scopus.com/inward/record.uri?eid=2-s2.0-57349176551&doi=10.1109%2fRCIS.2008.4632129&partnerID=40&md5=80ee3ae498550f99fd67d0a643d3e9a3","Conference paper","Final","","Scopus","2-s2.0-57349176551"
"Levina O.","Levina, Olga (26640436800)","26640436800","Bearing the challenge of multidisciplinarity by business rules- based system analysis","2009","Proceedings of the 2009 3rd International Conference on Research Challenges in Information Science, RCIS 2009","","","5089309","447","452","5","3","10.1109/RCIS.2009.5089309","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349443811&doi=10.1109%2fRCIS.2009.5089309&partnerID=40&md5=a1369d26d82f01177d1969ea73a66b98","Conference paper","Final","","Scopus","2-s2.0-70349443811"
"Djemal K.; Soulé-Dupuy C.; Vallès-Parlangeau N.","Djemal, Karim (24528407200); Soulé-Dupuy, Chantal (23398246300); Vallès-Parlangeau, Nathalie (23399129400)","24528407200; 23398246300; 23399129400","Management of document multistructurality","2009","Proceedings of the 2009 3rd International Conference on Research Challenges in Information Science, RCIS 2009","","","5089296","325","332","7","1","10.1109/RCIS.2009.5089296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349466936&doi=10.1109%2fRCIS.2009.5089296&partnerID=40&md5=8815ed27c178b93ab2a165ee6396338b","Conference paper","Final","","Scopus","2-s2.0-70349466936"
"Deneckère R.; Komyshova E.; Rolland C.","Deneckère, Rébecca (55879431700); Komyshova, Elena (21743133000); Rolland, Colette (7005299219)","55879431700; 21743133000; 7005299219","Enhancing the guidance of the intentional model ""MAP"": Graph theory application","2009","Proceedings of the 2009 3rd International Conference on Research Challenges in Information Science, RCIS 2009","","","5089263","13","22","9","7","10.1109/RCIS.2009.5089263","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349448669&doi=10.1109%2fRCIS.2009.5089263&partnerID=40&md5=7de25bf2af5d7146e16d253d164ffc2b","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-70349448669"
"Dakhli S.B.D.; Chouikha M.B.","Dakhli, Salem Ben Dhaou (6602368562); Chouikha, Mouna Ben (35067853800)","6602368562; 35067853800","The knowledge-gap reduction in software engineering","2009","Proceedings of the 2009 3rd International Conference on Research Challenges in Information Science, RCIS 2009","","","5089292","287","294","7","4","10.1109/RCIS.2009.5089292","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349473358&doi=10.1109%2fRCIS.2009.5089292&partnerID=40&md5=210613e3f53735b7917febb381ab090b","Conference paper","Final","","Scopus","2-s2.0-70349473358"
"Salinesi C.; Gam I.","Salinesi, Camille (23398218600); Gam, Ines (35067985200)","23398218600; 35067985200","How specific should requirements engineering be in the context of decision information systems?","2009","Proceedings of the 2009 3rd International Conference on Research Challenges in Information Science, RCIS 2009","","","5089288","247","254","7","6","10.1109/RCIS.2009.5089288","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349446886&doi=10.1109%2fRCIS.2009.5089288&partnerID=40&md5=d426eaa60a3aeeb2f849bdfb4e9e48f1","Conference paper","Final","","Scopus","2-s2.0-70349446886"
"Knap T.; Mlýnková I.","Knap, Tomáš (26664625500); Mlýnková, Irena (57195429378)","26664625500; 57195429378","Towards more secure web services: Exploiting and analysing XML signature security issues","2009","Proceedings of the 2009 3rd International Conference on Research Challenges in Information Science, RCIS 2009","","","5089267","49","58","9","3","10.1109/RCIS.2009.5089267","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349449874&doi=10.1109%2fRCIS.2009.5089267&partnerID=40&md5=af27d2c8f6ebfc36ce682fcef2e96f80","Conference paper","Final","","Scopus","2-s2.0-70349449874"
"Beiio M.; Misek J.; Zavoral F.","Beiio, Miloslav (35067782800); Misek, Jakub (35090402000); Zavoral, Filip (14017207900)","35067782800; 35090402000; 14017207900","Agentmat: Framework for data scraping and semantization","2009","Proceedings of the 2009 3rd International Conference on Research Challenges in Information Science, RCIS 2009","","","5089286","225","236","11","5","10.1109/RCIS.2009.5089286","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349441233&doi=10.1109%2fRCIS.2009.5089286&partnerID=40&md5=2194b811ad18d3b47b636410fa7e119d","Conference paper","Final","","Scopus","2-s2.0-70349441233"
"Farida S.; Régine L.; Christophe G.","Farida, Semmak (14046139600); Régine, Laleau (57203847210); Christophe, Gnaho (25641217900)","14046139600; 57203847210; 25641217900","Supporting variability in goal-based requirements","2009","Proceedings of the 2009 3rd International Conference on Research Challenges in Information Science, RCIS 2009","","","5089287","237","246","9","5","10.1109/RCIS.2009.5089287","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349441231&doi=10.1109%2fRCIS.2009.5089287&partnerID=40&md5=b7f86628c4640bf0337ecde10344ceab","Conference paper","Final","","Scopus","2-s2.0-70349441231"
