"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Wang Jia-Ping; Shatz Sol M.","Wang, Jia-Ping (54780715600); Shatz, Sol M. (7003604719)","54780715600; 7003604719","Task allocation for optimized system reliability","1988","Proceedings - Symposium on Reliability in Distributed Software and Database Systems","","","","82","90","8","7","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024124899&partnerID=40&md5=d0701217986f09731d8bb57d659e2de7","Conference paper","Final","","Scopus","2-s2.0-0024124899"
"Atkins M.Stella; Haftevani Garnik; Luk Wo Shun","Atkins, M.Stella (7102310616); Haftevani, Garnik (6504705390); Luk, Wo Shun (7005237842)","7102310616; 6504705390; 7005237842","Efficient kernel-level dependable multicast protocol for distributed systems","1989","Proceedings - Symposium on Reliability in Distributed Software and Database Systems","","","","94","101","7","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024889656&partnerID=40&md5=88b78f2498f353390f9f5e0f3ec3d7b0","Conference paper","Final","","Scopus","2-s2.0-0024889656"
"Stahl M.; Buskens R.; Bianchini R.","Stahl, Mark (57208921012); Buskens, Richard (6603147444); Bianchini, Ronald (7006939556)","57208921012; 6603147444; 7006939556","Simulation of the adapt on-line diagnosis algorithm for general topology networks","1992","Proceedings of the IEEE Symposium on Reliable Distributed Systems","1992-October","","235128","180","187","7","6","10.1109/RELDIS.1992.235128","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978498476&doi=10.1109%2fRELDIS.1992.235128&partnerID=40&md5=48c87f75ee395cc180b2bf6d6fc9dc82","Conference paper","Final","","Scopus","2-s2.0-84978498476"
"Gopinath Prabha S.; Lyons Damian M.; Mehta Sandeep","Gopinath, Prabha S. (24755300600); Lyons, Damian M. (7202510997); Mehta, Sandeep (7401670169)","24755300600; 7202510997; 7401670169","Representation and execution support for reliable robot applications","1990","Proceedings - Symposium on Reliability in Distributed Software and Database Systems","","","","96","103","7","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025547010&partnerID=40&md5=3c28eef264c9e7eed90b33b00c4a0a83","Conference paper","Final","","Scopus","2-s2.0-0025547010"
"Ciciani Bruno; Dias Daniel M.; Yu Philip S.","Ciciani, Bruno (57202439556); Dias, Daniel M. (7006814595); Yu, Philip S. (7402366049)","57202439556; 7006814595; 7402366049","Performance comparison of concurrency control protocols for transaction processing systems with regional locality","1989","Proceedings - Symposium on Reliability in Distributed Software and Database Systems","","","","112","118","6","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024900892&partnerID=40&md5=eaff55cfe97c56c7226a056db9f7da39","Conference paper","Final","","Scopus","2-s2.0-0024900892"
"Tang J.","Tang, Jian (59623296400)","59623296400","Managing replicated data in heterogeneous database systems","1992","Proceedings of the IEEE Symposium on Reliable Distributed Systems","1992-October","","235147","12","19","7","2","10.1109/RELDIS.1992.235147","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0011283641&doi=10.1109%2fRELDIS.1992.235147&partnerID=40&md5=4f1b612b69ce1e93cb6c0bdfd07f507a","Conference paper","Final","","Scopus","2-s2.0-0011283641"
"Couvet D.; Florin G.; Natkin S.","Couvet, D. (7003318690); Florin, G. (6701695853); Natkin, S. (57204234658)","7003318690; 6701695853; 57204234658","A statistical clock synchronization algorithm for anisotropic networks","1991","Proceedings - Symposium on Reliability in Distributed Software and Database Systems","","","","42","51","9","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026244215&partnerID=40&md5=eb4ff868daf035de121197a73d999aba","Conference paper","Final","","Scopus","2-s2.0-0026244215"
"Kim K.H.K.; Kopctz H.; Mori K.; Shokri E.H.; Grocnstcidl G.","Kim, K.H. Kane (7409320249); Kopctz, Hermann (57208928129); Mori, Kinji (7406263706); Shokri, Eltcfaat H. (6602078252); Grocnstcidl, G. (57208919119)","7409320249; 57208928129; 7406263706; 6602078252; 57208919119","An efficient decentralized approach to processor-group membership maintenance in real-time LAN systems: The PRHB/ED scheme","1992","Proceedings of the IEEE Symposium on Reliable Distributed Systems","1992-October","","235140","74","83","9","6","10.1109/RELDIS.1992.235140","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066141513&doi=10.1109%2fRELDIS.1992.235140&partnerID=40&md5=d3b72285c8d9d0efc6216372a52f2452","Conference paper","Final","","Scopus","2-s2.0-85066141513"
"Noe J.D.; Kaiser J.; Kroeger R.; Nett E.","Noe, J.D. (7005293521); Kaiser, J. (59833824900); Kroeger, R. (59804802200); Nett, E. (7003977289)","7005293521; 59833824900; 59804802200; 7003977289","Commit/Abort problem in type-specific locking","1988","Proceedings - Symposium on Reliability in Distributed Software and Database Systems","","","","204","213","9","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024122476&partnerID=40&md5=b4a4de34490a323d9a3cd81754050fac","Conference paper","Final","","Scopus","2-s2.0-0024122476"
"Wilkes C.Thomas; LeBlanc Jr. Richard J.","Wilkes, C.Thomas (7004527487); LeBlanc Jr., Richard J. (7202687975)","7004527487; 7202687975","Distributed locking: A mechanism for constructing highly available objects","1988","Proceedings - Symposium on Reliability in Distributed Software and Database Systems","","","","194","203","9","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024122475&partnerID=40&md5=ce8806e5ae9abf6cb3a8c28aa2338bae","Conference paper","Final","","Scopus","2-s2.0-0024122475"
"Wu J.; Fernandez E.B.","Wu, Jie (55837752300); Fernandez, Eduardo B. (7402178980)","55837752300; 7402178980","Reliable broadcasting in faulty hypercube computers","1992","Proceedings of the IEEE Symposium on Reliable Distributed Systems","1992-October","","235135","122","129","7","17","10.1109/RELDIS.1992.235135","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043386858&doi=10.1109%2fRELDIS.1992.235135&partnerID=40&md5=c890bb939a8661f40168f5982936bc3a","Conference paper","Final","","Scopus","2-s2.0-85043386858"
"Long D.D.E.; Carroll J.L.; Park C.J.","Long, D.D.E. (57202793160); Carroll, J.L. (57199067131); Park, C.J. (56141041700)","57202793160; 57199067131; 56141041700","A study of the reliability of Internet sites","1991","Proceedings - Symposium on Reliability in Distributed Software and Database Systems","","","","177","186","9","17","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026240645&partnerID=40&md5=aca8d281a0b7a55a4385a487e8d88360","Conference paper","Final","","Scopus","2-s2.0-0026240645"
"Strigini L.; Di Giandomenico F.","Strigini, L. (7003660118); Di Giandomenico, F. (6701688160)","7003660118; 6701688160","Flexible schemes for application-level fault tolerance","1991","Proceedings - Symposium on Reliability in Distributed Software and Database Systems","","","","86","95","9","11","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026240646&partnerID=40&md5=b6df577c2e587cb55e3a7156e43c57d3","Conference paper","Final","","Scopus","2-s2.0-0026240646"
"Min Kyung O.; Belford Geneva G.","Min, Kyung O. (7201466770); Belford, Geneva G. (7004236693)","7201466770; 7004236693","Workload analysis for performance study of distributed deadlock detection algorithms","1989","Proceedings - Symposium on Reliability in Distributed Software and Database Systems","","","","104","111","7","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024878779&partnerID=40&md5=6500ef6bb850007cd12d8daca435b5c7","Conference paper","Final","","Scopus","2-s2.0-0024878779"
"Paris J.-F.; Sloope P.K.","Paris, Jehan-Francois (56212865200); Sloope, Perry Kim (6507608449)","56212865200; 6507608449","Dynamic management of highly replicated data","1992","Proceedings of the IEEE Symposium on Reliable Distributed Systems","1992-October","","235146","20","27","7","3","10.1109/RELDIS.1992.235146","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645407678&doi=10.1109%2fRELDIS.1992.235146&partnerID=40&md5=3d19e819ebf5883efec7fbbad3d57f1a","Conference paper","Final","","Scopus","2-s2.0-33645407678"
"Polajnar Jernej; Mastilovic Duro; Pardulski Blagoja","Polajnar, Jernej (59904622200); Mastilovic, Duro (6504581735); Pardulski, Blagoja (6504057400)","59904622200; 6504581735; 6504057400","Decentralized loopback reconfiguration of a bidirectional ring LAN","1989","Proceedings - Symposium on Reliability in Distributed Software and Database Systems","","","","72","78","6","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024933282&partnerID=40&md5=d05483bf0c3bf5a65f402990f1a35a72","Conference paper","Final","","Scopus","2-s2.0-0024933282"
"Rajagopalan B.; McKinley Philip K.","Rajagopalan, B. (57217771822); McKinley, Philip K. (7004708510)","57217771822; 7004708510","Token-based protocol for reliable, ordered multicast communication","1989","Proceedings - Symposium on Reliability in Distributed Software and Database Systems","","","","84","93","9","31","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024933283&partnerID=40&md5=c8f931f7d2e9a8389255213514dc621e","Conference paper","Final","","Scopus","2-s2.0-0024933283"
"Chang Ye-In; Singhal Mukesh; Liu Ming T.","Chang, Ye-In (7501843059); Singhal, Mukesh (7005417246); Liu, Ming T. (56717805400)","7501843059; 7005417246; 56717805400","A fault tolerant algorithm for distributed mutual exclusion","1990","Proceedings - Symposium on Reliability in Distributed Software and Database Systems","","","","146","154","8","35","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025551333&partnerID=40&md5=79637f575585d605e158bfd317f14488","Conference paper","Final","","Scopus","2-s2.0-0025551333"
